symbol_x,open_x,dayMax_x,dayMin_x,close_x,volume_x,exchange_x,bidSize_x,bid_x,ask_x,askSize_x,settlementPeriod_x,base_symbol_x,ratio_x,aux_x,type_x,currency_x,symbol_y,open_y,dayMax_y,dayMin_y,close_y,volume_y,exchange_y,bidSize_y,bid_y,ask_y,askSize_y,settlementPeriod_y,base_symbol_y,ratio_y,aux_y,type_y,currency_y,conversion,x/y mid,x/y ask,x/y bid
AVGO,26900.0,28245.5,26900.0,27500.0,595.0,BUE,80.0,27344.0,27740.0,80.0,48,AVGO,39.0,O,base,ARS,AVGOD,28.5,28.5,28.45,28.5,15.0,BUE,3.0,26.3,29.95,6.0,48,AVGO,39.0,D,dolar,USD,AVGO 48h - AVGOD 48h,943.859649122807,1054.7528517110266,912.9883138564275
AXP,11798.5,12367.0,11365.0,11934.5,1902.0,BUE,120.0,11939.0,12056.5,120.0,48,AXP,15.0,P,base,ARS,AXPD,12.7,12.75,12.5,12.5,0.0,BUE,7.0,11.2,12.3,13.0,48,AXP,15.0,D,dolar,USD,AXP 48h - AXPD 48h,929.0157480314961,1076.4732142857144,970.650406504065
AZN,31904.5,32133.0,31680.0,32133.0,18.0,BUE,1000.0,32171.5,32456.5,40.0,48,AZN,2.0,N,base,ARS,AZND,29.5,29.5,29.05,29.2,0.0,BUE,5.0,29.0,35.9,7.0,48,AZN,2.0,D,dolar,USD,AZN 48h - AZND 48h,1081.5084745762713,1119.1896551724137,896.1420612813371
BA,40958.0,43569.5,40873.5,41976.0,150.0,BUE,40.0,41565.5,41975.5,40.0,48,BA,6.0,A,base,ARS,BA.CD,16.9,17.0,16.9,17.0,140.0,BUE,30.0,16.3,16.95,12.0,48,BA,6.0,D,dolar,USD,BA 48h - BA.CD 48h,2423.550295857988,2575.1840490797545,2452.241887905605
BA,40958.0,43569.5,40873.5,41976.0,150.0,BUE,40.0,41565.5,41975.5,40.0,48,BA,6.0,A,base,ARS,BAD,43.5,44.5,43.5,44.3,15.0,BUE,1.0,39.0,44.3,15.0,48,BA,6.0,D,dolar,USD,BA 48h - BAD 48h,941.5632183908046,1076.2948717948718,938.273137697517
BABA,8400.0,8497.0,8000.0,8250.0,39282.0,BUE,42.0,8250.0,8271.0,6.0,48,BABA,9.0,A,base,ARS,BABAD,8.55,8.85,8.5,8.7,1511.0,BUE,10.0,8.63,8.7,1.0,48,BABA,9.0,D,dolar,USD,BABA 48h - BABAD 48h,982.4561403508771,958.4009269988412,948.2758620689656
BIDU,10130.0,10564.0,10032.0,10358.5,1636.0,BUE,120.0,10359.5,10450.0,5.0,48,BIDU,11.0,U,base,ARS,BIDUD,10.3,11.0,10.3,11.0,62.0,BUE,95.0,10.3,11.0,14.0,48,BIDU,11.0,D,dolar,USD,BIDU 48h - BIDUD 48h,983.4951456310679,1014.5631067961165,941.7727272727273
BIOX,25001.0,27644.5,25001.0,26151.5,755.0,BUE,60.0,26152.0,26556.5,60.0,48,BIOX,0.5,X,base,ARS,BIOXD,27.15,27.5,27.15,27.5,8.0,BUE,35.0,26.0,27.55,35.0,48,BIOX,0.5,D,dolar,USD,BIOX 48h - BIOXD 48h,920.8471454880295,1021.4038461538462,949.2558983666062
BITF,15780.0,17299.0,13800.0,13800.5,9548.0,BUE,16.0,13800.5,13929.5,340.0,48,BITF,0.2,F,base,ARS,BITFD,17.0,18.2,16.5,16.5,58.0,BUE,10.0,14.65,17.65,52.0,48,BITF,0.2,D,dolar,USD,BITF 48h - BITFD 48h,928.2352941176471,950.8191126279863,781.8980169971672
BMY,16052.0,16590.0,15407.0,16200.0,183.0,BUE,4.0,16150.0,16200.0,10.0,48,BMY,3.0,Y,base,ARS,BMYD,18.1,18.1,18.1,18.1,0.0,BUE,2.0,16.7,18.0,5.0,48,BMY,3.0,D,dolar,USD,BMY 48h - BMYD 48h,886.8508287292817,970.059880239521,897.2222222222222
BP,6600.0,7019.0,6600.0,6815.0,498.0,BUE,5.0,6261.0,7151.0,1.0,48,BP,5.0,P,base,ARS,BPD,7.35,7.35,7.35,7.35,0.0,BUE,2.0,7.0,7.35,1.0,48,BP,5.0,D,dolar,USD,BP 48h - BPD 48h,897.9591836734694,1021.5714285714286,851.8367346938776
BRKB,15799.0,15800.0,15093.0,15466.0,5986.0,BUE,2300.0,15469.5,15600.0,10.0,48,BRKB,22.0,B,B,ARS,BRKBD,16.25,16.4,15.85,16.35,488.0,BUE,42.0,15.8,16.35,59.0,48,BRKB,22.0,D,dolar,USD,BRKB 48h - BRKBD 48h,972.2461538461539,987.3417721518987,946.1467889908256
CAT,14350.0,15051.5,13708.0,14042.0,2374.0,BUE,120.0,14042.5,14238.0,121.0,48,CAT,20.0,T,base,ARS,CATD,14.0,14.0,13.75,13.8,6.0,BUE,97.0,13.8,15.35,50.0,48,CAT,20.0,D,dolar,USD,CAT 48h - CATD 48h,1025.0,1031.7391304347825,914.8208469055375
COIN,6500.0,7000.0,5993.5,6199.5,24155.0,BUE,8.0,6100.0,6163.0,2.0,48,COIN,27.0,N,base,ARS,COIND,7.54,7.91,7.54,7.84,551.0,BUE,20.0,6.9,7.89,10.0,48,COIN,27.0,D,dolar,USD,COIN 48h - COIND 48h,862.0689655172414,893.1884057971014,773.1305449936629
CSCO,9527.5,9997.0,9396.5,9724.0,1148.0,BUE,2.0,9499.5,9500.0,50.0,48,CSCO,5.0,O,base,ARS,CSCOD,10.0,10.2,9.99,9.99,77.0,BUE,13.0,9.99,10.3,50.0,48,CSCO,5.0,D,dolar,USD,CSCO 48h - CSCOD 48h,952.75,950.950950950951,922.2815533980582
CVX,17750.0,18489.0,17325.5,17980.0,1504.0,BUE,1500.0,17831.5,17980.0,20.0,48,CVX,8.0,X,base,ARS,CVXD,18.0,18.9,18.0,18.7,0.0,BUE,10.0,17.65,18.7,17.0,48,CVX,8.0,D,dolar,USD,CVX 48h - CVXD 48h,986.1111111111111,1018.6968838526913,953.5561497326204
DE,9600.0,9892.5,9256.5,9492.5,759.0,BUE,3100.0,9494.5,9632.5,120.0,48,DE,40.0,E,base,ARS,DED,10.0,10.0,9.95,9.95,0.0,BUE,2.0,9.0,9.9,10.0,48,DE,40.0,D,dolar,USD,DE 48h - DED 48h,960.0,1070.2777777777778,959.040404040404
DESP,8870.0,9365.5,8870.0,9112.5,1283.0,BUE,4900.0,9112.5,9130.0,9.0,48,DESP,1.0,P,base,ARS,DESPD,9.4,9.5,9.05,9.5,110.0,BUE,100.0,9.05,9.5,13.0,48,DESP,1.0,D,dolar,USD,DESP 48h - DESPD 48h,943.6170212765957,1008.8397790055247,959.2105263157895
DIA,18000.0,18600.0,17642.5,18184.0,15704.0,BUE,80.0,18031.0,18183.5,80.0,48,DIA,20.0,A,base,ARS,DIAD,18.7,18.8,18.2,18.25,780.0,BUE,20.0,18.3,18.65,9.0,48,DIA,20.0,D,dolar,USD,DIA 48h - DIAD 48h,962.5668449197861,993.6338797814208,966.8096514745309
DISN,7107.0,7335.0,7055.0,7247.5,12922.0,BUE,33.0,7200.0,7247.5,3760.0,48,DIS,12.0,N,base,ARS,DISND,7.79,7.79,7.5,7.5,540.0,BUE,40.0,7.34,7.5,4.0,48,DIS,12.0,D,dolar,USD,DISN 48h - DISND 48h,912.3234916559692,987.3978201634877,960.0
