	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	CSCO	9.136,000	'0,39	48hs.	1	9.137,000	9.140,000	11	-	9.100,500	9.000,000	9.190,000	10.193.945	174	15:45:42	
	CSCOB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	CSCOC	-	-	48hs.	-	-	-	-	-	10,612	-	-	-	-		
	CSCOD	-	-	48hs.	10	9,500	10,000	2	-	9,900	-	-	-	-		
	CVX	17.200,000	2,99	48hs.	5	16.950,000	17.200,000	14	-	16.700,000	16.701,000	17.476,000	31.087.329	312	15:45:13	
	CVX.B	-	-	48hs.	-	-	-	-	-	11.996,000	-	-	-	-		
	CVXC	-	-	48hs.	-	-	-	-	-	10,852	-	-	-	-		
	CVXD	17,800	-0,55	48hs.	8	17,800	18,100	58	-	17,900	17,650	18,500	673	8	15:30:23	
	CX	6.200,000	4,47	48hs.	11	5.900,000	6.200,000	100	-	5.934,500	5.900,000	6.406,500	309.986	7	15:25:43	
	CXC	-	-	48hs.	-	-	-	-	-	7,073	-	-	-	-		
	DD	12.091,000	-1,03	48hs.	4	12.115,500	17.000,000	13	-	12.218,000	12.090,000	12.990,500	211.217	6	14:32:09	
	DDC	-	-	48hs.	-	-	-	-	-	13,780	-	-	-	-		
	DDD	-	-	48hs.	-	-	-	-	-	14,856	-	-	-	-		
	DE	9.300,000	-0,84	48hs.	25	9.300,000	9.400,000	1	-	9.379,000	9.200,000	9.600,000	5.211.239	86	15:45:27	
	DEB	-	-	48hs.	-	-	-	-	-	9.857,000	-	-	-	-		
	DEC	-	-	48hs.	-	-	-	-	-	'0,745	-	-	-	-		
	DED	8,600	-	48hs.	4	8,600	10,000	21	-	8,600	8,600	8,900	62	2	15:16:55	
	DEO	22.990,000	1,29	48hs.	10	22.800,000	22.990,000	20	-	22.695,000	22.696,000	22.990,000	3.893.416	22	15:44:49	
	DEOC	-	-	48hs.	-	-	-	-	-	2,773	-	-	-	-		
	DESP	7.800,000	2,90	48hs.	32	7.790,000	7.800,000	172	-	7.579,500	7.447,000	8.300,000	5.486.681	215	15:44:34	
	DESPC	-	-	48hs.	-	-	-	-	-	13,400	-	-	-	-		
	DESPD	8,100	-9,69	48hs.	314	8,100	8,600	13	-	8,970	8,100	8,950	930	19	15:43:39	
