symbol_x,open_x,dayMax_x,dayMin_x,close_x,volume_x,exchange_x,bidSize_x,bid_x,ask_x,askSize_x,settlementPeriod_x,base_symbol_x,ratio_x,aux_x,type_x,currency_x,volume_norm_x,can_use_x,symbol_y,open_y,dayMax_y,dayMin_y,close_y,volume_y,exchange_y,bidSize_y,bid_y,ask_y,askSize_y,settlementPeriod_y,base_symbol_y,ratio_y,aux_y,type_y,currency_y,volume_norm_y,can_use_y,x/y mid,x/y ask,x/y bid,vol_value_x,vol_value_y,spread_x,spread_y,max_spread,base_symbol,short_name
GM,5960.0,6142.5,5758.5,6057.5,2104.0,BUE,220.0,6058.0,6128.0,100.0,48,GM,6.0,M,base,ARS,0.19661004131184084,0,GMD,6.15,6.3,6.0,6.0,48.0,BUE,13.0,5.1,6.21,20.0,48,GM,6.0,D,dolar,USD,0.19661004131184084,0,969.1056910569105,1201.5686274509806,975.5233494363929,12539840.0,295.20000000000005,0.011488593467914,0.1962864721485412,0.1962864721485412,GM,General Motors Co.
GOOGL,2365.0,2489.0,2325.0,2481.0,192612.0,BUE,800.0,2468.0,2487.5,309.0,48,GOOGL,58.0,L,base,ARS,12.201171800660592,1,GOGLD,2.43,2.5,2.4,2.48,17467.0,BUE,528.0,2.45,2.49,460.0,48,GOOGL,58.0,D,dolar,USD,12.201171800660592,1,973.2510288065843,1015.3061224489795,991.1646586345381,455527380.0,42444.810000000005,0.007870043386136616,0.016194331983805682,0.016194331983805682,GOOGL,Google
GPRK,8950.0,9328.0,8950.0,9320.0,1058.0,BUE,2400.0,9258.0,9320.0,2090.0,48,GPRK,1.0,K,base,ARS,0.027645243163303183,0,GPRKD,10.5,10.5,10.5,10.5,0.0,BUE,0.0,0.0,10.5,15.0,48,GPRK,1.0,D,dolar,USD,0.027645243163303183,0,852.3809523809524,inf,881.7142857142857,9469100.0,0.0,0.0066745613090752505,2.0,2.0,GPRK,Geopark Ltd.
GS,30000.0,30364.0,28969.5,30169.5,245.0,BUE,1200.0,30136.5,30364.0,3.0,48,GS,13.0,S,base,ARS,0.4879506207360153,0,GSD,29.2,29.5,29.2,29.5,5.0,BUE,30.0,28.6,30.0,1.0,48,GS,13.0,D,dolar,USD,0.4879506207360153,0,1027.3972602739727,1061.6783216783217,1004.55,7350000.0,146.0,0.007520599003314022,0.047781569965870255,0.047781569965870255,GS,Goldman Sachs
GSK,9465.0,9957.0,9444.5,9955.0,204.0,BUE,1.0,9947.0,9955.0,10.0,48,GSK,4.0,K,base,ARS,0.023706855658728928,0,GSKD,9.5,9.5,9.5,9.5,1.0,BUE,50.0,9.03,9.5,1.0,48,GSK,4.0,D,dolar,USD,0.023706855658728928,0,996.3157894736842,1102.436323366556,1047.0526315789473,1930860.0,9.5,0.000803939302582655,0.050728548300054035,0.050728548300054035,GSK,Glaxosmithkline
HDB,34000.0,34000.0,33653.0,33706.0,22.0,BUE,40.0,33781.0,34404.5,40.0,48,HD,32.0,B,B,ARS,0.1497720737329211,0,HD,10990.0,11100.0,10480.0,10993.0,1202.0,BUE,140.0,10878.5,10993.5,140.0,48,HD,32.0,D,dolar,USD,0.1497720737329211,0,3.0937215650591448,3.1626143310199017,3.072815754764179,748000.0,13209980.0,0.01828834576266215,0.010515727871250914,0.01828834576266215,HD,Home Depot
HMY,6095.0,6200.0,5801.5,6169.5,8150.0,BUE,14.0,6103.5,6169.0,400.0,48,HMY,1.0,Y,base,ARS,1.6220640161995263,1,HMYD,6.35,6.68,6.35,6.5,106.0,BUE,5.0,6.0,6.2,5.0,48,HMY,1.0,D,dolar,USD,1.6220640161995263,1,959.8425196850394,1028.1666666666667,984.4354838709677,49674250.0,673.0999999999999,0.010674271745773069,0.03278688524590167,0.03278688524590167,HMY,Harmony Gold
HUT,61800.0,66500.0,55400.0,64000.0,2120.0,BUE,1.0,62500.0,66000.0,1.0,48,HUT,0.2,T,base,ARS,16.721776485823323,1,HUTD,9.0,9.0,9.0,9.0,0.0,BUE,12.0,10.0,0.0,0.0,48,HUT,0.2,D,dolar,USD,16.721776485823323,1,6866.666666666667,6600.0,inf,131016000.0,0.0,0.054474708171206226,2.0,2.0,HUT,Hut 8 Mining Corp.
IBM,32200.0,33407.0,31745.5,33344.5,1360.0,BUE,4.0,33200.0,33405.5,60.0,48,IBM,5.0,M,base,ARS,1.6567888402961095,1,IBMD,35.0,35.0,35.0,35.0,5.0,BUE,4.0,31.2,35.0,5.0,48,IBM,5.0,D,dolar,USD,1.6567888402961095,1,920.0,1070.6891025641025,948.5714285714286,43792000.0,175.0,0.006170661582001486,0.11480362537764352,0.11480362537764352,IBM,Ibm
ITUB,6750.0,7022.0,6718.0,6983.0,475.0,BUE,280.0,6985.5,7020.0,3.0,48,ITUB,1.0,B,B,ARS,0.6425306454406639,0,ITUBD,6.8,7.0,6.7,6.74,0.0,BUE,57.0,6.23,7.4,22.0,48,ITUB,1.0,D,dolar,USD,0.6425306454406639,0,992.6470588235294,1126.8057784911716,943.9864864864865,3206250.0,0.0,0.00492663596444254,0.17168011738811442,0.17168011738811442,ITUB,Banco Ita̼ Unibanco S.a.
IWM,19861.0,20398.0,19430.0,20283.5,11789.0,BUE,3.0,20241.0,20342.0,80.0,48,IWM,10.0,M,base,ARS,5.1719970530279245,1,IWMD,22.4,22.4,22.1,22.2,400.0,BUE,11.0,20.55,22.2,61.0,48,IWM,10.0,D,dolar,USD,5.1719970530279245,1,886.6517857142858,989.8783454987835,911.7567567567568,234141329.0,8960.0,0.004977453613582042,0.07719298245614029,0.07719298245614029,IWM,Etf Ishares Trust Russell 2000
JMIA,3340.0,3766.5,3299.0,3749.0,10599.0,BUE,10.0,3714.0,3748.5,420.0,48,JMIA,1.0,A,base,ARS,0.37504080107126603,0,JMIAD,3.5,3.5,3.5,3.5,29.0,BUE,10.0,3.4,3.8,105.0,48,JMIA,1.0,D,dolar,USD,0.37504080107126603,0,954.2857142857143,1102.5,977.3684210526317,35400660.0,101.5,0.009246231155778894,0.11111111111111109,0.11111111111111109,JMIA,Jumia Technologies Ag
JNJ,10698.0,11153.0,10520.0,11131.0,16360.0,BUE,2.0,11115.0,11144.5,88.0,48,JNJ,15.0,J,base,ARS,2.989676438486956,1,JNJD,10.85,11.4,10.5,10.8,618.0,BUE,18.0,10.8,11.2,73.0,48,JNJ,15.0,D,dolar,USD,2.989676438486956,1,985.9907834101383,1031.898148148148,992.4107142857143,175019280.0,6705.3,0.002650553696174667,0.03636363636363624,0.03636363636363624,JNJ,Johnson & Johnson
JPM,34200.0,35600.0,33787.0,35450.0,2243.0,BUE,2.0,35475.0,35601.0,492.0,48,JPM,5.0,M,base,ARS,5.9524457563708415,1,JPMD,35.0,36.0,33.85,36.0,97.0,BUE,1.0,31.5,35.0,2.0,48,JPM,5.0,D,dolar,USD,5.9524457563708415,1,977.1428571428571,1130.1904761904761,1013.5714285714286,76710600.0,3395.0,0.003545500590916765,0.10526315789473684,0.10526315789473684,JPM,Jpmorgan Chase & Co.
