simbolo,puntas,ultimoPrecio,variacionPorcentual,apertura,maximo,minimo,ultimoCierre,volumen,cantidadOperaciones,fecha,tipoOpcion,precioEjercicio,fechaVencimiento,mercado,moneda,descripcion,plazo,laminaMinima,lote
NIOD,"{'cantidadCompra': 12.0, 'precioCompra': 2.22, 'precioVenta': 2.3, 'cantidadVenta': 68.0}",2.22,-5.12,2.3,2.4,2.2,2.22,1331.0,27.0,2023-12-29T13:45:57.563,,,,1,2,Nio Inc.,T2,1,1
NKE,"{'cantidadCompra': 6.0, 'precioCompra': 8590.0, 'precioVenta': 8646.5, 'cantidadVenta': 3200.0}",8645.0,0.69,8873.0,9000.0,8504.5,8645.0,11579.0,612.0,2023-12-29T13:45:53.847,,,,1,1,Nike,T2,1,1
NKED,"{'cantidadCompra': 7.0, 'precioCompra': 9.0, 'precioVenta': 9.09, 'cantidadVenta': 48.0}",9.14,0.1,9.15,9.6,9.1,9.14,174.0,27.0,2023-12-29T13:41:41.187,,,,1,2,Nike,T2,1,1
NOKA,"{'cantidadCompra': 7000.0, 'precioCompra': 3178.0, 'precioVenta': 3243.5, 'cantidadVenta': 7000.0}",3243.5,2.67,3161.0,3272.5,3046.0,3243.5,135.0,39.0,2023-12-29T13:41:35.68,,,,1,1,Nokia,T2,1,1
NSAN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:02.6,,,,1,1,Nissan,T2,1,1
NTCO,"{'cantidadCompra': 300.0, 'precioCompra': 6411.0, 'precioVenta': 6494.5, 'cantidadVenta': 5900.0}",6406.5,-1.75,6530.0,6630.0,6382.5,6406.5,745.0,12.0,2023-12-29T13:38:25.313,,,,1,1,Cedear Natura & Co Holding Sa,T2,1,1
NTES,"{'cantidadCompra': 5200.0, 'precioCompra': 6301.5, 'precioVenta': 6313.0, 'cantidadVenta': 2.0}",6313.0,5.56,6150.0,6363.0,6100.0,6313.0,589.0,34.0,2023-12-29T13:46:13.35,,,,1,1,"Netease, Inc.",T2,1,1
NUE,"{'cantidadCompra': 130.0, 'precioCompra': 10217.0, 'precioVenta': 10409.0, 'cantidadVenta': 3200.0}",10356.0,0.54,10384.5,10384.5,10262.0,10356.0,107.0,4.0,2023-12-29T13:09:59.083,,,,1,1,Nucor,T2,1,1
NVDA,"{'cantidadCompra': 140.0, 'precioCompra': 19334.0, 'precioVenta': 19470.0, 'cantidadVenta': 5.0}",19333.5,-0.57,20139.0,20350.0,19232.0,19333.5,5957.0,879.0,2023-12-29T13:45:42.347,,,,1,1,Nvidia,T2,1,1
NVDAD,"{'cantidadCompra': 36.0, 'precioCompra': 20.3, 'precioVenta': 20.6, 'cantidadVenta': 13.0}",20.3,-0.73,20.7,20.9,20.0,20.3,423.0,80.0,2023-12-29T13:32:14.983,,,,1,2,Nvidia,T2,1,1
NVS,"{'cantidadCompra': 60.0, 'precioCompra': 23732.5, 'precioVenta': 24150.0, 'cantidadVenta': 60.0}",21550.0,0.0,21920.5,21920.5,21411.0,21550.0,0.0,0.0,2023-12-29T03:00:18.753,,,,1,1,Novartis Ag,T2,1,1
NVSD,,27.5,0.0,27.5,27.5,27.5,27.5,0.0,0.0,2023-12-29T03:00:18.533,,,,1,2,Novartis AG,T2,1,1
OGZD,,348.0,0.0,195.0,359.0,180.0,348.0,0.0,0.0,2023-12-29T03:00:02.677,,,,1,1,Gazprom,T2,1,1
OGZDD,,1.91,0.0,1.7,2.0,1.61,1.91,0.0,0.0,2023-12-29T03:00:04.78,,,,1,2,Gazprom,T2,1,1
ORAN,"{'cantidadCompra': 140.0, 'precioCompra': 10774.5, 'precioVenta': 10897.0, 'cantidadVenta': 3200.0}",10920.0,0.65,10920.0,10920.0,10920.0,10920.0,1.0,1.0,2023-12-29T12:20:57.62,,,,1,1,Orange,T2,1,1
ORCL,"{'cantidadCompra': 50.0, 'precioCompra': 33042.0, 'precioVenta': 33482.5, 'cantidadVenta': 1200.0}",33041.5,-1.34,33492.0,34800.0,31817.5,33041.5,321.0,75.0,2023-12-29T13:43:49.403,,,,1,1,Oracle,T2,1,1
OXY,"{'cantidadCompra': 36.0, 'precioCompra': 10925.0, 'precioVenta': 11452.0, 'cantidadVenta': 2.0}",11305.5,0.54,11239.0,11819.5,10690.0,11305.5,596.0,93.0,2023-12-29T13:45:54.163,,,,1,1,Occidental Petroleum Corporation,T2,1,1
OXYD,"{'cantidadCompra': 4.0, 'precioCompra': 11.2, 'precioVenta': 12.2, 'cantidadVenta': 24.0}",11.7,0.0,11.5,11.7,11.5,11.7,0.0,0.0,2023-12-29T02:59:55.317,,,,1,2,Occidental Petroleum Corporation,T2,1,1
PAAS,"{'cantidadCompra': 10.0, 'precioCompra': 4751.0, 'precioVenta': 5190.5, 'cantidadVenta': 1.0}",5145.0,-0.59,5234.5,5469.0,5000.0,5145.0,793.0,163.0,2023-12-29T13:41:19.66,,,,1,1,Pan American Silver Corp.,T2,1,1
PAASC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:11.233,,,,1,2,Pan American Silver Corp.,T2,1,1
PAASD,"{'cantidadCompra': 12.0, 'precioCompra': 4.8, 'precioVenta': 5.77, 'cantidadVenta': 11.0}",5.5,0.0,5.25,5.6,5.25,5.5,0.0,0.0,2023-12-29T03:00:11.177,,,,1,2,Pan American Silver Corp.,T2,1,1
PANW,"{'cantidadCompra': 360.0, 'precioCompra': 5531.5, 'precioVenta': 5587.5, 'cantidadVenta': 360.0}",5588.0,-0.17,5600.0,5780.0,5532.5,5588.0,677.0,15.0,2023-12-29T13:46:19.323,,,,1,1,"Palo Alto Networks, Inc.",T2,1,1
PANWD,"{'cantidadCompra': 2.0, 'precioCompra': 5.5, 'precioVenta': 0.0, 'cantidadVenta': 0.0}",5.9,0.0,5.9,5.9,5.9,5.9,0.0,0.0,2023-12-29T03:00:02.12,,,,1,2,"Palo Alto Networks, Inc.",T2,1,1
