	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	GMD	-	-	C.I.	13	5,070	-	-	5,535	5,535	-	-	-	-		
	GOGLB	-	-	C.I.	-	-	-	-	1.741,000	1.741,000	-	-	-	-		
	GOGLC	-	-	C.I.	-	-	-	-	2,230	2,230	-	-	-	-		
	GOGLD	2,270	'0,44	C.I.	-	-	2,600	83	2,270	2,260	2,200	2,290	1.794	36	15:48:24	
	GOLD	15.990,000	2,76	C.I.	-	-	-	-	15.797,000	15.559,500	15.000,000	16.250,000	17.712.075	177	16:28:34	
	GOLDC	-	-	C.I.	-	-	-	-	18,770	18,770	-	-	-	-		
	GOLDD	17,600	2,32	C.I.	70	16,900	17,600	14	17,600	17,200	17,600	17,600	18	1	14:38:52	
	GOOGL	2.080,000	3,14	C.I.	23	2.097,500	2.160,000	50	2.092,500	2.016,500	2.000,000	2.180,000	50.629.829	1.136	16:28:28	
	GPRK	7.860,000	-2,53	C.I.	-	-	-	-	7.860,000	8.064,618	7.860,000	7.860,000	62.880	3	16:18:06	
	GPRKC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	GRMN	-	-	C.I.	-	-	-	-	33.100,000	33.100,000	-	-	-	-		
	GS	-	-	C.I.	-	-	-	-	24.999,000	24.999,000	-	-	-	-		
	GSD	-	-	C.I.	9	23,350	-	-	24,538	24,538	-	-	-	-		
	GSK	-	-	C.I.	-	-	-	-	7.950,000	7.950,000	-	-	-	-		
	HAL	-	-	C.I.	7	15.900,000	-	-	18.000,000	18.000,000	-	-	-	-		
	HALC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	HALD	-	-	C.I.	-	-	-	-	18,900	18,900	-	-	-	-		
	HD	9.293,000	4,41	C.I.	-	-	-	-	9.293,000	8.900,000	9.100,000	9.413,500	1.084.189	18	16:17:14	
	HD..B	-	-	C.I.	-	-	-	-	7.429,500	7.429,500	-	-	-	-		
	HDB	-	-	C.I.	-	-	-	-	-	'0,010	-	-	-	-		
	HDC	-	-	C.I.	-	-	-	-	9,235	9,235	-	-	-	-		
	HL	3.900,000	-2,63	C.I.	-	-	-	-	3.900,000	4.005,500	3.900,000	3.900,000	159.900	1	13:03:35	
	HMC	27.240,000	'0,88	C.I.	-	-	-	-	27.240,000	27.000,000	27.240,000	27.240,000	54.480	1	11:34:47	
